,Pays,Indicateur,Année,Unité,Valeur
382,South Africa,disponibilité protéiques moyenne,2001,g/cap/d,75.6
383,South Africa,disponibilité protéiques moyenne,2002,g/cap/d,76.2
384,South Africa,disponibilité protéiques moyenne,2003,g/cap/d,77.5
385,South Africa,disponibilité protéiques moyenne,2004,g/cap/d,78.9
386,South Africa,disponibilité protéiques moyenne,2005,g/cap/d,79.9
387,South Africa,disponibilité protéiques moyenne,2006,g/cap/d,80.7
388,South Africa,disponibilité protéiques moyenne,2007,g/cap/d,80.9
389,South Africa,disponibilité protéiques moyenne,2008,g/cap/d,79.6
390,South Africa,disponibilité protéiques moyenne,2009,g/cap/d,78.5
391,South Africa,disponibilité protéiques moyenne,2010,g/cap/d,77.8
392,South Africa,disponibilité protéiques moyenne,2011,g/cap/d,78.2
393,South Africa,disponibilité protéiques moyenne,2012,g/cap/d,78.8
394,South Africa,disponibilité protéiques moyenne,2013,g/cap/d,78.9
395,South Africa,disponibilité protéiques moyenne,2014,g/cap/d,79.1
396,South Africa,disponibilité protéiques moyenne,2015,g/cap/d,78.5
397,South Africa,disponibilité protéiques moyenne,2016,g/cap/d,78.7
398,South Africa,disponibilité protéiques moyenne,2017,g/cap/d,78.8
399,South Africa,disponibilité protéiques moyenne,2018,g/cap/d,80.4
400,South Africa,disponibilité protéiques moyenne,2019,g/cap/d,81.4
401,South Africa,disponibilité protéiques moyenne,2020,g/cap/d,82.1
